tt0012349,8.2,8.5,8.4,8.3,8.3
tt0013442,7.9,8.2,7.8,7.9,8.1
tt0015864,8.1,8,8.2,8.1,8.2
tt0017136,8.1,8.3,8.3,8.2,8.3
tt0017925,8,8,8.1,8.1,8.2
tt0021749,8.3,8.5,8.6,8.5,8.5
tt0021884,7.8,7.7,7.7,7.7,8.1
tt0022100,8.1,8,8.3,8.3,8.4
tt0024216,7.8,7.9,7.8,7.8,8.1
tt0025316,8,7.9,8.1,8,8.1
tt0027977,8.4,8.2,8.6,8.5,8.5
tt0029583,7.6,7.2,7.5,7.5,7.9
tt0031381,8.1,8,8.3,8.1,8.2
tt0031679,8,7.7,8.1,8.1,8.2
tt0032138,8,7.9,7.8,8,8.4
tt0032455,7.8,7.6,7.8,7.7,7.8
tt0032551,7.9,7.8,7.9,8,8.3
tt0032553,8.3,8.2,8.5,8.4,8.4
tt0032904,8,7.5,7.8,7.8,8.1
tt0032910,7.5,7.5,7.4,7.4,7.7
tt0032976,8,7.9,8.1,8,8.2
tt0033467,8.1,8.7,8.3,8.2,8.4
tt0033563,7.3,7.1,7.2,7.2,7.4
tt0033870,8,8.1,7.8,7.9,8.3
tt0034492,7.4,7.1,7.3,7.2,7.6
tt0034583,8.4,8.3,8.4,8.4,8.6
tt0035423,6.6,5.4,6.6,6.3,6.4
tt0036613,8,8.1,7.9,7.9,8.1
tt0036775,8.1,8.1,8.3,8.2,8.4
tt0038355,7.9,7.4,7.8,7.8,8.2
tt0038650,8.5,8.8,8.7,8.5,8.7
tt0038787,7.9,7.7,7.9,7.9,8.1
tt0040522,8.1,8.5,8.3,8.3,8.3
tt0040746,8,7.8,8.1,8,7.8
tt0040897,8,7.8,8.2,8.1,8.3
tt0041959,8.1,8,8.1,8.1,8.3
tt0042192,8.1,7.4,8.2,8.1,8.4
tt0042332,7.4,7.1,7.2,7.2,7.4
tt0042876,8.1,8.1,8.2,8.2,8.3
tt0043014,8.2,8.7,8.4,8.4,8.5
tt0043265,7.8,8,7.5,7.5,8.1
tt0043274,7.5,7.3,7.4,7.4,7.3
tt0043456,7.8,8,7.7,7.6,7.9
tt0044079,7.9,7.8,7.9,7.9,8.1
tt0044081,8,7.9,8,7.9,8
tt0044706,7.9,7.6,7.8,7.9,8.2
tt0044741,8,8.3,8.4,8.3,8.3
tt0045152,8.2,8.3,8.4,8.2,8.3
tt0046183,7.4,7.1,7.3,7.3,7.3
tt0046250,8.1,8,8.1,8,8
tt0046911,7.9,7.2,8.1,8.1,8
tt0046912,8.1,8,8.3,8.2,8
tt0047296,8.1,7.8,8.2,8.1,8.2
tt0047396,8.4,8.7,8.5,8.4,8.5
tt0047478,8.4,8.9,8.6,8.6,8.7
tt0048280,7.4,7.1,7.3,7.3,7.5
tt0048424,7.9,8.5,8,7.9,8.1
tt0048545,7.8,7.5,7.8,7.6,7.7
tt0048728,7.5,7.6,7.4,7.3,7.5
tt0049406,7.9,7.6,8,8,7.9
tt0049730,7.9,8.4,7.9,7.8,8.1
tt0049833,7.9,8,7.8,7.8,8
tt0050083,8.8,9.1,9.1,8.9,8.7
tt0050212,8.1,8.1,8.2,8.1,8.2
tt0050825,8.2,8.7,8.5,8.4,8.4
tt0050976,8.1,8.3,8.2,8.1,8.1
tt0050986,8,8.5,8.3,8.1,8.1
tt0051201,8.2,8.3,8.6,8.4,8.4
tt0052311,7.9,8.4,8,7.9,8.1
tt0052357,8.2,8.7,8.3,8.3,8.3
tt0052618,8,8,8.1,8,8.2
tt0053125,8.2,8.3,8.2,8.2,8.5
tt0053198,8,8.1,8.2,8,8
tt0053285,7.4,7,7.2,7.2,7.4
tt0053291,8.2,8.3,8.3,8.1,8.3
tt0053472,7.9,7.8,7.9,7.8,7.7
tt0053604,8.1,8.2,8.4,8.2,8.2
tt0053779,8,8.5,8.2,7.9,7.9
tt0054047,7.8,7.5,7.6,7.6,7.9
tt0054215,8.4,8.7,8.6,8.5,8.5
tt0054331,7.9,7.8,7.9,7.8,8
tt0054698,7.8,7.6,7.8,7.6,7.6
tt0054997,8,7.9,7.9,7.9,8
tt0055031,8.1,7.3,8.3,8.2,8.2
tt0055254,7.3,7.3,7.3,7.2,7.3
tt0055614,7.6,7.4,7.5,7.3,7.9
tt0055630,8,8.3,8.2,8.2,8.2
tt0055928,7.3,7.4,7.3,7.2,7.3
tt0056172,8.1,8.4,8.3,8.2,8.4
tt0056193,7.6,7.4,7.6,7.5,7.6
tt0056217,8,7.8,8.1,8,8.2
tt0056218,7.9,7.5,7.9,7.8,8
tt0056592,8.2,8.1,8.2,8.2,8.5
tt0056801,8,9,8.2,7.9,7.9
tt0056869,7.7,7.9,7.5,7.6,7.9
tt0056923,8,7.9,8,7.9,7.9
tt0057012,8.3,8.4,8.4,8.4,8.3
tt0057076,7.5,7.8,7.4,7.3,7.5
tt0057115,8.2,8.3,8.2,8.2,8.3
tt0057546,7.3,7,7.1,7.3,7
tt0058150,7.8,8.2,7.7,7.6,7.8
tt0058331,7.9,7.7,7.7,7.8,7.9
tt0058385,7.9,7.5,7.7,7.7,8
tt0058461,8,7.8,8,8,7.9
tt0059113,8,8.2,8,7.9,8.1
tt0059578,8.2,8.4,8.4,8.3,8.1
tt0059742,8.1,7.9,8,7.9,8.1
tt0059800,7.1,7,7,6.9,7.1
tt0060196,8.7,9.1,8.9,8.8,8.7
tt0060827,8,8.2,8.3,8,7.8
tt0061184,7.9,8.8,8.1,7.9,8
tt0061418,7.8,7.9,7.8,7.7,7.8
tt0061512,8.1,7.6,8.1,8.1,8.2
tt0061578,7.8,7.4,7.8,7.7,7.8
tt0061722,8,8,8.1,7.9,7.9
tt0061811,7.9,8.3,7.9,7.9,8.1
tt0061852,7.7,7.3,7.5,7.6,7.8
tt0062512,7,7.1,6.8,6.8,7
tt0062622,8.1,8.8,8.4,8.2,8.2
tt0063350,7.9,7.7,7.8,7.9,7.9
tt0063442,7.9,8.1,8,7.9,8
tt0063522,7.9,8.5,8.1,7.9,7.9
tt0064115,8,8.1,8.1,8,8.1
tt0064116,8.4,8.4,8.4,8.5,8.5
tt0064276,7.4,7.3,7.5,7.3,7.2
tt0064665,7.9,7.9,7.9,7.8,7.9
tt0064757,6.9,7.1,6.7,6.7,6.9
tt0065214,7.9,8.1,7.9,7.9,8
tt0065421,7.3,7.3,7.3,7,7.1
tt0066026,7.6,7.5,7.3,7.3,7.7
tt0066206,8,7.7,8,7.9,8
tt0066921,8.2,8.7,8.4,8.3,8
tt0066995,6.7,6.3,6.6,6.6,6.8
tt0066999,7.8,8.2,7.8,7.7,7.8
tt0067116,7.7,8,7.7,7.6,7.8
tt0067185,8,8.3,8,7.8,8
tt0067992,7.9,7.9,7.7,7.8,7.9
tt0068473,7.7,8.1,7.5,7.6,7.9
tt0068646,8.9,9.2,9.2,9.2,9.1
tt0069293,8,8.8,8.3,8,7.8
tt0069704,7.6,7.6,7.5,7.3,7.6
tt0069762,7.8,7.9,7.9,7.8,7.7
tt0070034,7.8,7.8,7.7,7.7,7.7
tt0070047,8,7.9,7.9,8,8.2
tt0070328,6.9,7,6.8,6.7,6.9
