tt7286456,Joker,2019,"Crime, Drama, Thriller",122,"USA, Canada",English
tt0107290,Jurassic Park,1993,"Action, Adventure, Sci-Fi",127,USA,"English, Spanish"
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",138,USA,English
tt0119217,Good Will Hunting,1997,"Drama, Romance",126,USA,English
tt2267998,Gone Girl,2014,"Drama, Mystery, Thriller",149,USA,English
tt0477348,No Country for Old Men,2007,"Crime, Drama, Thriller",122,"USA, Mexico","English, Spanish"
tt1392170,The Hunger Games,2012,"Action, Adventure, Sci-Fi",142,USA,English
tt0268978,A Beautiful Mind,2001,"Biography, Drama",135,USA,English
tt0264464,Catch Me If You Can,2002,"Biography, Crime, Drama",141,"USA, Canada","English, French"
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149,USA,English
tt0198781,"Monsters, Inc.",2001,"Animation, Adventure, Comedy",92,USA,English
tt1010048,Slumdog Millionaire,2008,"Drama, Romance",120,"UK, USA, India","English, Hindi, French, German"
tt0088247,The Terminator,1984,"Action, Sci-Fi",107,"UK, USA","English, Spanish"
tt0078748,Alien,1979,"Horror, Sci-Fi",117,"UK, USA",English
tt0095016,Die Hard,1988,"Action, Thriller",132,USA,"English, German, Italian, Japanese"
tt0208092,Snatch,2000,"Comedy, Crime",104,"UK, USA","English, Russian"
tt1454468,Gravity,2013,"Drama, Sci-Fi, Thriller",91,"UK, USA, Mexico","English, Greenlandic"
tt4154796,Avengers: Endgame,2019,"Action, Adventure, Drama",181,USA,"English, Japanese, Xhosa, German"
tt0180093,Requiem for a Dream,2000,Drama,102,USA,English
tt0903624,The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",169,"New Zealand, USA",English
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",130,"UK, USA",English
tt3659388,The Martian,2015,"Adventure, Drama, Sci-Fi",144,"UK, USA, Hungary, Jordan","English, Mandarin"
tt0066921,A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136,"UK, USA",English
tt1300854,Iron Man Three,2013,"Action, Adventure, Sci-Fi",130,USA,English
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy",103,USA,"English, Spanish"
tt1675434,Intouchables,2011,"Biography, Comedy, Drama",112,France,"French, English"
tt0401792,Sin City,2005,"Crime, Thriller",124,USA,English
tt0800369,Thor,2011,"Action, Adventure, Fantasy",115,USA,English
tt0246578,Donnie Darko,2001,"Drama, Mystery, Sci-Fi",113,USA,English
tt0458339,Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",124,USA,"English, Norwegian, French"
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",141,USA,"English, Korean"
tt0416449,300,2006,"Action, Drama",117,"USA, Canada, Bulgaria",English
tt0086250,Scarface,1983,"Crime, Drama",170,USA,"English, Spanish"
tt1843866,Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",136,USA,"English, French"
tt0118715,The Big Lebowski,1998,"Comedy, Crime, Sport",117,"USA, UK","English, German, Hebrew, Spanish"
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",136,USA,English
tt0253474,The Pianist,2002,"Biography, Drama, Music",150,"UK, France, Poland, Germany, USA","English, German, Russian"
tt1205489,Gran Torino,2008,Drama,116,"Germany, USA","English, Hmong"
tt1228705,Iron Man 2,2010,"Action, Adventure, Sci-Fi",124,USA,"English, French, Russian"
tt1119646,The Hangover,2009,Comedy,100,"USA, Germany",English
tt0075314,Taxi Driver,1976,"Crime, Drama",114,USA,"English, Spanish"
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",140,USA,English
tt2582802,Whiplash,2014,"Drama, Music",106,USA,English
tt0211915,Le fabuleux destin d'Amélie Poulain,2001,"Comedy, Romance",122,"France, Germany","French, Russian, English"
tt2278388,The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",99,"Germany, USA","English, French, German"
tt0947798,Black Swan,2010,"Drama, Thriller",108,USA,"English, French, Italian"
tt0317248,Cidade de Deus,2002,"Crime, Drama",130,"Brazil, France, Germany",Portuguese
tt1663202,The Revenant,2015,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan","English, Pawnee, French"
tt0770828,Man of Steel,2013,"Action, Adventure, Sci-Fi",143,"USA, UK",English
tt0083658,Blade Runner,1982,"Action, Sci-Fi, Thriller",117,USA,"English, German, Cantonese, Japanese, Hungarian, Arabic"
tt0097576,Indiana Jones and the Last Crusade,1989,"Action, Adventure",127,USA,"English, German, Greek, Arabic"
tt0145487,Spider-Man,2002,"Action, Adventure, Sci-Fi",121,USA,English
tt0480249,I Am Legend,2007,"Action, Adventure, Drama",101,USA,English
tt0060196,"Il buono, il brutto, il cattivo",1966,Western,161,"Italy, Spain, West Germany",Italian
tt0050083,12 Angry Men,1957,"Crime, Drama",96,USA,English
tt0378194,Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",137,USA,"English, Cantonese, Mandarin, Spanish"
tt2084970,The Imitation Game,2014,"Biography, Drama, Thriller",114,"UK, USA","English, German"
tt0093058,Full Metal Jacket,1987,"Drama, War",116,"UK, USA","English, Vietnamese"
tt0892769,How to Train Your Dragon,2010,"Animation, Action, Adventure",98,USA,English
tt1045658,Silver Linings Playbook,2012,"Comedy, Drama, Romance",122,USA,English
tt1877832,X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",132,"USA, UK, Canada","English, Vietnamese, French"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",151,USA,"English, Turkish, Greek, Mandarin, French"
tt3498820,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",147,USA,"English, German, Xhosa, Russian, Romanian, Hindi"
tt0317705,The Incredibles,2004,"Animation, Action, Adventure",115,USA,"English, French"
tt0090605,Aliens,1986,"Action, Adventure, Sci-Fi",137,"USA, UK",English
tt1270798,X: First Class,2011,"Action, Adventure, Sci-Fi",131,"USA, UK","English, German, French, Spanish, Russian"
tt1136608,District 9,2009,"Action, Sci-Fi, Thriller",112,"South Africa, USA, New Zealand, Canada","English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho"
tt1504320,The King's Speech,2010,"Biography, Drama, History",118,"UK, USA, Australia",English
tt3315342,Logan,2017,"Action, Drama, Sci-Fi",137,USA,"English, Spanish"
tt0245429,Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",125,Japan,Japanese
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",142,USA,English
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",152,"UK, USA",English
tt0382932,Ratatouille,2007,"Animation, Adventure, Comedy",111,USA,"English, French"
tt2024544,12 Years a Slave,2013,"Biography, Drama, History",134,"USA, UK",English
tt0117951,Trainspotting,1996,Drama,93,UK,English
tt0405159,Million Dollar Baby,2004,"Drama, Sport",132,USA,"English, Irish"
tt1074638,Skyfall,2012,"Action, Adventure, Thriller",143,"UK, USA, Turkey","English, Turkish, Shanghainese, Portuguese, Japanese"
tt2975590,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",152,USA,English
tt1285016,The Social Network,2010,"Biography, Drama",120,USA,"English, French"
tt0457430,El laberinto del fauno,2006,"Drama, Fantasy, War",118,"Mexico, Spain",Spanish
tt0118799,La vita è bella,1997,"Comedy, Drama, Romance",116,Italy,"Italian, German, English"
tt1951264,The Hunger Games: Catching Fire,2013,"Action, Adventure, Mystery",146,USA,English
tt0116282,Fargo,1996,"Crime, Drama, Thriller",98,"USA, UK",English
tt0126029,Shrek,2001,"Animation, Adventure, Comedy",90,USA,English
tt0440963,The Bourne Ultimatum,2007,"Action, Mystery, Thriller",115,"USA, Germany, France, Spain","English, French, Arabic, Russian, Spanish"
tt1825683,Black Panther,2018,"Action, Adventure, Sci-Fi",134,USA,"English, Swahili, Nama, Xhosa, Korean"
tt2096673,Inside Out,2015,"Animation, Adventure, Comedy",95,USA,English
tt0078788,Apocalypse Now,1979,"Drama, Mystery, War",147,USA,"English, French, Vietnamese"
tt1170358,The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",161,"New Zealand, USA",English
tt0816711,World War Z,2013,"Action, Adventure, Horror",116,"USA, UK, Malta","English, Spanish, Hebrew, Arabic"
tt0418279,Transformers,2007,"Action, Adventure, Sci-Fi",144,USA,"English, Spanish"
tt0062622,2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149,"UK, USA","English, Russian"
tt0054215,Psycho,1960,"Horror, Mystery, Thriller",109,USA,English
tt1386697,Suicide Squad,2016,"Action, Adventure, Fantasy",123,USA,"English, Japanese, Spanish"
tt1631867,Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",113,"USA, Canada",English
tt0449088,Pirates of the Caribbean: At World's End,2007,"Action, Adventure, Fantasy",169,USA,English
tt1670345,Now You See Me,2013,"Crime, Mystery, Thriller",115,"USA, France","English, French"
tt1981115,Thor: The Dark World,2013,"Action, Adventure, Fantasy",112,USA,English
tt1392214,Prisoners,2013,"Crime, Drama, Mystery",153,USA,English
tt2802144,Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",129,"UK, USA","English, Arabic, Swedish"
tt1211837,Doctor Strange,2016,"Action, Adventure, Fantasy",115,USA,English
tt0421715,The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",166,USA,"English, Russian, French"
tt2543164,Arrival,2016,"Drama, Mystery, Sci-Fi",116,"USA, Canada","English, Russian, Mandarin"
tt0988045,Sherlock Holmes,2009,"Action, Adventure, Mystery",128,"USA, Germany, UK, Australia","English, French"
tt0796366,Star Trek,2009,"Action, Adventure, Sci-Fi",127,"USA, Germany",English
tt0454876,Life of Pi,2012,"Adventure, Drama, Fantasy",127,"USA, Taiwan, UK, Canada","Arabic, English, Tamil, French, Japanese, Hindi, Chinese"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",144,"UK, Czech Republic, USA, Germany, Bahamas","English, Serbian, German, Italian, French"
tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",124,USA,English
tt0107048,Groundhog Day,1993,"Comedy, Fantasy, Romance",101,USA,"English, French, Italian"
tt0114746,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129,USA,"English, French"
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119,USA,English
tt3501632,Thor: Ragnarok,2017,"Action, Adventure, Comedy",130,USA,English
tt1024648,Argo,2012,"Biography, Drama, Thriller",120,"USA, UK","English, Persian, German, Arabic"
tt0113277,Heat,1995,"Crime, Drama, Thriller",170,USA,"English, Spanish"
tt1637725,Ted,2012,Comedy,106,USA,"English, Japanese"
tt0120903,X-Men,2000,"Action, Adventure, Sci-Fi",104,USA,English
tt0758758,Into the Wild,2007,"Adventure, Biography, Drama",148,USA,"English, Danish"
tt2294629,Frozen,2013,"Animation, Adventure, Comedy",102,USA,"English, Norwegian"
tt1446714,Prometheus,2012,"Adventure, Mystery, Sci-Fi",124,"USA, UK","English, Scottish Gaelic"
tt0780504,Drive,2011,"Crime, Drama",100,USA,"English, Spanish"
tt0936501,Taken,2008,"Action, Thriller",90,"France, USA","English, French, Albanian, Arabic"
tt0478970,Ant-Man,2015,"Action, Adventure, Comedy",117,USA,English
tt3896198,Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136,USA,English
tt0948470,The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi",136,USA,English
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",152,USA,English
tt3748528,Rogue One,2016,"Action, Adventure, Sci-Fi",133,USA,English
tt0295297,Harry Potter and the Chamber of Secrets,2002,"Adventure, Family, Fantasy",161,"UK, USA, Germany",English
tt0451279,Wonder Woman,2017,"Action, Adventure, Fantasy",141,"USA, China, Hong Kong","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian"
tt0073195,Jaws,1975,"Adventure, Thriller",124,USA,English
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142,"UK, USA",English
tt0316654,Spider-Man 2,2004,"Action, Adventure, Sci-Fi",127,USA,"English, Russian, Chinese"
tt5013056,Dunkirk,2017,"Action, Drama, History",106,"UK, Netherlands, France, USA","English, French, German"
tt0330373,Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",157,"UK, USA","English, French"
tt1276104,Looper,2012,"Action, Drama, Sci-Fi",113,"USA, China","English, French"
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",107,UK,English
tt1798709,Her,2013,"Drama, Romance, Sci-Fi",126,USA,English
tt0119488,L.A. Confidential,1997,"Crime, Drama, Mystery",138,USA,English
tt2911666,John Wick,2014,"Action, Crime, Thriller",101,"USA, UK, China","English, Russian, Hungarian"
tt0116629,Independence Day,1996,"Action, Adventure, Sci-Fi",145,USA,English
tt1219289,Limitless,2011,"Sci-Fi, Thriller",105,USA,"English, Russian, Italian, Mandarin, French"
tt1250777,Kick-Ass,2010,"Action, Comedy, Crime",117,"UK, USA, China",English
tt0120363,Toy Story 2,1999,"Animation, Adventure, Comedy",92,USA,"English, Arabic, Spanish"
tt0829482,Superbad,2007,Comedy,113,USA,English
tt1156398,Zombieland,2009,"Adventure, Comedy, Fantasy",88,USA,English
tt0162222,Cast Away,2000,"Adventure, Drama, Romance",143,USA,"English, Russian"
tt0034583,Casablanca,1942,"Drama, Romance, War",102,USA,"English, French, German, Italian"
tt0332280,The Notebook,2004,"Drama, Romance",123,USA,English
tt7131622,Once Upon a Time... in Hollywood,2019,"Comedy, Drama",161,"USA, UK, China","English, Italian, Spanish, German"
tt0119654,Men in Black,1997,"Action, Adventure, Comedy",98,USA,"English, Spanish"
tt0075148,Rocky,1976,"Drama, Sport",120,USA,English
tt0234215,The Matrix Reloaded,2003,"Action, Sci-Fi",138,USA,"English, French"
tt0240772,Ocean's Eleven,2001,"Crime, Thriller",116,USA,"English, Italian, Cantonese"
tt0290334,X2,2003,"Action, Sci-Fi, Thriller",134,"Canada, USA","English, German, Italian, Spanish"
